"id","netPrice","stock","certificate","shape","weight","color","clarity","cut","polish","symmetry","fluroscence","lab","location","imageLink","videoLink","created_at","updated_at"
1,422,"BC2-6A",7243716938,"RD",0.33,"D","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=NFRVEYLJXX","",NULL,NULL
2,436,"BF1-7C",2257145726,"RD",0.32,"F","SI1","EX","EX","VG","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=OIBNUEAUGG","",NULL,NULL
3,282,"AR4-8",6235928238,"RD",0.31,"F","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=V2CBFHO9MM","",NULL,NULL
4,1289,"BD1-6K",7253586875,"RD",0.42,"D","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=N12SEP444","",NULL,NULL
5,598,"AV-3D",6252205971,"RD",0.4,"D","SI2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=ZNO7TMPZWW","",NULL,NULL
6,550,"BE1-1E",7256025419,"RD",0.43,"D","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=8XAQE5WUU","",NULL,NULL
7,1362,"BF2-9G",7256586889,"RD",0.43,"E","VVS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=JLEIFFXOO","",NULL,NULL
8,469,"BE2-9F",6252065511,"RD",0.4,"E","I1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=CUKUMMBMWW","",NULL,NULL
9,1109,"BH-21",7252530632,"RD",0.4,"F","VS2","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=F5T5F0NZBB","",NULL,NULL
10,643,"BF1-3I",6251258595,"RD",0.4,"F","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=GD0S7ZP3WW","",NULL,NULL
11,649,"BE2-11G",6251206009,"RD",0.41,"F","SI1","EX","EX","EX","NONE","GIA","HK","http://segoma.com/v.php?type=view&id=E60OLLHWYY","",NULL,NULL
